"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1054","Remove item from cart","","Wed Jul 09 13:40:07 GMT 2025","passed","Wed Jul 09 13:40:08 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","1123","cartStatePersistsAcrossNavigation()","","Wed Jul 09 13:40:08 GMT 2025","passed","Wed Jul 09 13:40:09 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","964","addMultipleItemsToCart()","","Wed Jul 09 13:40:17 GMT 2025","passed","Wed Jul 09 13:40:18 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"","1374","cancelFromOverviewPage()","","Wed Jul 09 13:40:05 GMT 2025","passed","Wed Jul 09 13:40:06 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"","1011","Check presence of product list after login","","Wed Jul 09 13:40:24 GMT 2025","passed","Wed Jul 09 13:40:25 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","checkProductListPresenceAfterLogin"
"","1103","checkoutFormValidation()","","Wed Jul 09 13:40:12 GMT 2025","passed","Wed Jul 09 13:40:14 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","5852","Successful login as performance glitch user","","Wed Jul 09 13:39:56 GMT 2025","passed","Wed Jul 09 13:40:02 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","977","sortProductsByNameDescending()","","Wed Jul 09 13:40:15 GMT 2025","passed","Wed Jul 09 13:40:16 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","2229","totalPriceWithTaxIsCalculatedCorrectly()","","Wed Jul 09 13:40:10 GMT 2025","passed","Wed Jul 09 13:40:12 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"Verify that removing one item updates the cart correctly","1132","removeOneItemFromCart()","","Wed Jul 09 13:40:09 GMT 2025","passed","Wed Jul 09 13:40:10 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","1084","proceedToCheckout()","","Wed Jul 09 13:40:04 GMT 2025","passed","Wed Jul 09 13:40:05 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","956","logoAndHeaderVisibility()","","Wed Jul 09 13:39:53 GMT 2025","passed","Wed Jul 09 13:39:54 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
"","807","loginWithSpacesInUsernameBeforeAndAfter()","","Wed Jul 09 13:40:25 GMT 2025","passed","Wed Jul 09 13:40:26 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","868","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Wed Jul 09 13:40:19 GMT 2025","passed","Wed Jul 09 13:40:20 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"","1321","fullPurchaseFlow()","","Wed Jul 09 13:40:14 GMT 2025","passed","Wed Jul 09 13:40:15 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","fullPurchaseFlow"
"","1415","Logout from application","","Wed Jul 09 13:40:23 GMT 2025","passed","Wed Jul 09 13:40:24 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","831","Unsuccessful login with non-existent user","","Wed Jul 09 13:39:55 GMT 2025","passed","Wed Jul 09 13:39:56 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"","920","sortProductsByPriceAscending()","","Wed Jul 09 13:40:18 GMT 2025","passed","Wed Jul 09 13:40:19 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","1186","buttonStateChangeOnInteraction()","","Wed Jul 09 13:39:54 GMT 2025","passed","Wed Jul 09 13:39:55 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","buttonStateChangeOnInteraction"
"","916","productDetailsView()","","Wed Jul 09 13:40:16 GMT 2025","passed","Wed Jul 09 13:40:17 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"","1401","proceedToCheckoutStep2()","","Wed Jul 09 13:40:02 GMT 2025","passed","Wed Jul 09 13:40:04 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"","781","Unsuccessful login with locked user","","Wed Jul 09 13:40:21 GMT 2025","passed","Wed Jul 09 13:40:22 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","unsuccessfulLoginWithLockedUser"
"","867","Add item to cart and check badge","","Wed Jul 09 13:40:22 GMT 2025","passed","Wed Jul 09 13:40:23 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
"","666","Unsuccessful login with empty fields","","Wed Jul 09 13:39:56 GMT 2025","passed","Wed Jul 09 13:39:56 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"","831","Successful login with valid credentials","","Wed Jul 09 13:40:21 GMT 2025","passed","Wed Jul 09 13:40:21 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
"","875","Navigate to the cart page","","Wed Jul 09 13:40:06 GMT 2025","passed","Wed Jul 09 13:40:07 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","935","backFromPDPtoPLP()","","Wed Jul 09 13:40:20 GMT 2025","passed","Wed Jul 09 13:40:20 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","4888","browserWindowResizing()","","Wed Jul 09 13:39:48 GMT 2025","passed","Wed Jul 09 13:39:53 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","797","enteringSQLinjectionInUsername()","","Wed Jul 09 13:40:27 GMT 2025","passed","Wed Jul 09 13:40:28 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","enteringSQLinjectionInUsername"
"","1100","longValueInUsernameField()","","Wed Jul 09 13:40:26 GMT 2025","passed","Wed Jul 09 13:40:27 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
