"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Product List Page (PLP)","0","Inventory","1","0","Check product list is displayed after login","0"
"0","Navigation flow","0","Return navigation","1","0","Return from PDP tp PDL by using Back to Products button","0"
"0","Product Details Page (PDP)","0","Product info display","1","0","View product details","0"
"0","Checkout","0","Checkout cancellation","1","0","Cancel checkout and return to PLP","0"
"0","Product List Page (PLP)","0","Sorting and filtering","1","0","Sort product by price ascending","0"
"0","Cart","0","Add/Remove items","1","0","Cart badge reflects added items","0"
"0","Cart","0","Add/Remove items","1","0","Remove one item from cart","0"
"0","Authentication","0","Logout","1","0","Logout to end session","0"
"0","Authentication","0","Login","1","0","Login with Locked user","0"
"0","Authentication","0","Login","1","0","Performance_glitch_user can login successfully","0"
"0","Checkout","0","Checkout navigation","1","0","Proceed to checkout page 1 to begin purchase","0"
"0","Checkout","0","Form validation","1","0","Show error message for empty checkout fields","0"
"0","Navigation flow","0","Return navigation","1","0","Return from PDP to PLP by using browser back option","0"
"0","Security and Validation","0","Whitespace handling","1","0","Login fails with trimmed username","0"
"0","UI and UX validation","0","Button interaction","1","0","Add to cart button should reflect product status to the user visually","0"
"0","Security and Validation","0","Input length limits","1","0","Reject too long username","0"
"0","UI and UX validation","0","Responsive layout","1","0","Layout must adapt between desktop and mobile views without breaking functionality","0"
"0","Checkout","0","Order completion","1","0","Display thank you message after purchase","0"
"0","Cart","0","Cart navigation","1","0","Open cart by click cart icon","0"
"0","Cart","0","Add/Remove items","1","0","Cart state persistence","0"
"0","Cart","0","Add/Remove items","1","0","Add several items to cart","0"
"0","Authentication","0","Login","1","0","Error displayed for empty login fields","0"
"0","Checkout","0","Checkout form","1","0","Enter personal info to proceed to checkout page 2","0"
"0","Checkout","0","Order summary","1","0","Validations for subtotal, tax and total calculations","0"
"0","Authentication","0","Login","1","0","Login with Valid Credentials","0"
"0","Cart","0","Add/Remove items","1","0","Remove item from cart","0"
"0","Authentication","0","Login","1","0","Error displayed for invalid login credentials","0"
"0","Product List Page (PLP)","0","Sorting and filtering","1","0","Sort product by name descending","0"
"0","UI and UX validation","0","Element visibility","1","0","Header and branding elements must be clearly visible to user","0"
"0","Security and Validation","0","SQL injection protection","1","0","Reject login with SQL payload","0"
