"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4038","backFromPDPtoPLP()","","Wed May 28 17:54:32 EEST 2025","passed","Wed May 28 17:54:36 EEST 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","4368","logoutFromTheWebsite()","","Wed May 28 17:54:47 EEST 2025","passed","Wed May 28 17:54:52 EEST 2025","","com.automation.tests.smoke.InventoryTests","com.automation.tests.smoke.InventoryTests","logoutFromTheWebsite"
"","4052","proceedToCheckout()","","Wed May 28 17:53:52 EEST 2025","passed","Wed May 28 17:53:56 EEST 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","3388","successfulLoginTest()","","Wed May 28 17:53:29 EEST 2025","passed","Wed May 28 17:53:32 EEST 2025","","com.automation.tests.smoke.LoginTests","com.automation.tests.smoke.LoginTests","successfulLoginTest"
"","5122","fullPurchaseFlow()","","Wed May 28 17:55:15 EEST 2025","passed","Wed May 28 17:55:20 EEST 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","fullPurchaseFlow"
"","3493","addItemToCartAndCheckBadge()","","Wed May 28 17:54:44 EEST 2025","passed","Wed May 28 17:54:47 EEST 2025","","com.automation.tests.smoke.InventoryTests","com.automation.tests.smoke.InventoryTests","addItemToCartAndCheckBadge"
"","3418","unsuccessfulLoginWithLockedUser()","","Wed May 28 17:53:33 EEST 2025","passed","Wed May 28 17:53:36 EEST 2025","","com.automation.tests.smoke.LoginTests","com.automation.tests.smoke.LoginTests","unsuccessfulLoginWithLockedUser"
"","4143","checkoutFormValidation()","","Wed May 28 17:55:11 EEST 2025","passed","Wed May 28 17:55:15 EEST 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","8293","successfulLoginAsPerformanceGlitchUser()","","Wed May 28 17:54:07 EEST 2025","passed","Wed May 28 17:54:15 EEST 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","3554","unsuccessfulLoginWithNonExistentUser()","","Wed May 28 17:54:01 EEST 2025","passed","Wed May 28 17:54:04 EEST 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"","4180","removeItemFromCart()","","Wed May 28 17:54:39 EEST 2025","passed","Wed May 28 17:54:44 EEST 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","4645","cancelFromOverviewPage()","","Wed May 28 17:53:56 EEST 2025","passed","Wed May 28 17:54:01 EEST 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"Verify that removing one item updates the cart correctly","4253","removeOneItemFromCart()","","Wed May 28 17:55:00 EEST 2025","passed","Wed May 28 17:55:04 EEST 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","3377","loginWithSpacesInUsernameBeforeAndAfter()","","Wed May 28 17:53:36 EEST 2025","passed","Wed May 28 17:53:39 EEST 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","3413","sortProductsByPriceAscending()","","Wed May 28 17:53:26 EEST 2025","passed","Wed May 28 17:53:29 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","6981","sortProductsByNameDescending()","","Wed May 28 17:53:11 EEST 2025","passed","Wed May 28 17:53:18 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","6607","totalPriceWithTaxIsCalculatedCorrectly()","","Wed May 28 17:55:04 EEST 2025","passed","Wed May 28 17:55:11 EEST 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"","5010","browserWindowResizing()","","Wed May 28 17:54:15 EEST 2025","passed","Wed May 28 17:54:20 EEST 2025","","com.automation.tests.ui_ux.UI_UXtests","com.automation.tests.ui_ux.UI_UXtests","browserWindowResizing"
"","3646","enteringSQLinjectionInUsername()","","Wed May 28 17:53:44 EEST 2025","passed","Wed May 28 17:53:47 EEST 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","enteringSQLinjectionInUsername"
"","3764","checkProductListPresenceAfterLogin()","","Wed May 28 17:54:52 EEST 2025","passed","Wed May 28 17:54:55 EEST 2025","","com.automation.tests.smoke.InventoryTests","com.automation.tests.smoke.InventoryTests","checkProductListPresenceAfterLogin"
"","2920","unsuccessfulLoginWithEmptyFields()","","Wed May 28 17:54:04 EEST 2025","passed","Wed May 28 17:54:07 EEST 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"","3984","productDetailsView()","","Wed May 28 17:53:18 EEST 2025","passed","Wed May 28 17:53:22 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"","3876","addMultipleItemsToCart()","","Wed May 28 17:53:22 EEST 2025","passed","Wed May 28 17:53:26 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"","4730","proceedToCheckoutStep2()","","Wed May 28 17:53:47 EEST 2025","passed","Wed May 28 17:53:52 EEST 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"Verify that the cart state persists after navigation to checkout","4365","cartStatePersistsAcrossNavigation()","","Wed May 28 17:54:55 EEST 2025","passed","Wed May 28 17:55:00 EEST 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","3469","logoAndHeaderVisibility()","","Wed May 28 17:54:20 EEST 2025","passed","Wed May 28 17:54:24 EEST 2025","","com.automation.tests.ui_ux.UI_UXtests","com.automation.tests.ui_ux.UI_UXtests","logoAndHeaderVisibility"
"","4174","longValueInUsernameField()","","Wed May 28 17:53:39 EEST 2025","passed","Wed May 28 17:53:43 EEST 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
