"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5274","cancelFromOverviewPage()","","Fri Jun 27 16:15:18 EEST 2025","passed","Fri Jun 27 16:15:23 EEST 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"","4151","backFromPDPtoPLP()","","Fri Jun 27 16:16:33 EEST 2025","passed","Fri Jun 27 16:16:37 EEST 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","19569","Successful login with valid credentials","","Fri Jun 27 16:21:36 EEST 2025","passed","Fri Jun 27 16:21:56 EEST 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
"","9054","Successful login as performance glitch user","","Fri Jun 27 16:15:58 EEST 2025","passed","Fri Jun 27 16:16:07 EEST 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","5437","fullPurchaseFlow()","","Fri Jun 27 16:17:10 EEST 2025","passed","Fri Jun 27 16:17:16 EEST 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","fullPurchaseFlow"
"","18012","Logout from application","","Fri Jun 27 16:20:56 EEST 2025","passed","Fri Jun 27 16:21:14 EEST 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","4764","Navigate to the cart page","","Fri Jun 27 16:16:37 EEST 2025","passed","Fri Jun 27 16:16:42 EEST 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","6404","browserWindowResizing()","","Fri Jun 27 16:19:03 EEST 2025","passed","Fri Jun 27 16:19:09 EEST 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","6276","proceedToCheckoutStep2()","","Fri Jun 27 16:15:07 EEST 2025","passed","Fri Jun 27 16:15:13 EEST 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"","4699","enteringSQLinjectionInUsername()","","Fri Jun 27 16:15:02 EEST 2025","passed","Fri Jun 27 16:15:07 EEST 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","enteringSQLinjectionInUsername"
"","4785","logoAndHeaderVisibility()","","Fri Jun 27 16:19:09 EEST 2025","passed","Fri Jun 27 16:19:14 EEST 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
"","5227","Unsuccessful login with non-existent user","","Fri Jun 27 16:15:49 EEST 2025","passed","Fri Jun 27 16:15:54 EEST 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"","21089","Unsuccessful login with locked user","","Fri Jun 27 16:21:56 EEST 2025","passed","Fri Jun 27 16:22:17 EEST 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","unsuccessfulLoginWithLockedUser"
"","7885","totalPriceWithTaxIsCalculatedCorrectly()","","Fri Jun 27 16:16:58 EEST 2025","passed","Fri Jun 27 16:17:06 EEST 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"","5910","buttonStateChangeOnInteraction()","","Fri Jun 27 16:19:14 EEST 2025","passed","Fri Jun 27 16:19:20 EEST 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","buttonStateChangeOnInteraction"
"","25004","Add item to cart and check badge","","Fri Jun 27 16:20:31 EEST 2025","passed","Fri Jun 27 16:20:56 EEST 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
"","4556","loginWithSpacesInUsernameBeforeAndAfter()","","Fri Jun 27 16:14:52 EEST 2025","passed","Fri Jun 27 16:14:57 EEST 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","4272","addMultipleItemsToCart()","","Fri Jun 27 16:14:44 EEST 2025","passed","Fri Jun 27 16:14:48 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"","5367","longValueInUsernameField()","","Fri Jun 27 16:14:57 EEST 2025","passed","Fri Jun 27 16:15:02 EEST 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","21771","Check presence of product list after login","","Fri Jun 27 16:21:15 EEST 2025","passed","Fri Jun 27 16:21:36 EEST 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","checkProductListPresenceAfterLogin"
"","10026","sortProductsByNameDescending()","","Fri Jun 27 16:14:29 EEST 2025","passed","Fri Jun 27 16:14:39 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","4646","proceedToCheckout()","","Fri Jun 27 16:15:13 EEST 2025","passed","Fri Jun 27 16:15:18 EEST 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","5644","cartStatePersistsAcrossNavigation()","","Fri Jun 27 16:16:48 EEST 2025","passed","Fri Jun 27 16:16:53 EEST 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","4331","checkoutFormValidation()","","Fri Jun 27 16:17:06 EEST 2025","passed","Fri Jun 27 16:17:10 EEST 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","4039","Unsuccessful login with empty fields","","Fri Jun 27 16:15:54 EEST 2025","passed","Fri Jun 27 16:15:58 EEST 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"","5554","Remove item from cart","","Fri Jun 27 16:16:42 EEST 2025","passed","Fri Jun 27 16:16:48 EEST 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","4481","sortProductsByPriceAscending()","","Fri Jun 27 16:14:48 EEST 2025","passed","Fri Jun 27 16:14:52 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","3522","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Fri Jun 27 16:16:30 EEST 2025","passed","Fri Jun 27 16:16:33 EEST 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"Verify that removing one item updates the cart correctly","4733","removeOneItemFromCart()","","Fri Jun 27 16:16:53 EEST 2025","passed","Fri Jun 27 16:16:58 EEST 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","4750","productDetailsView()","","Fri Jun 27 16:14:39 EEST 2025","passed","Fri Jun 27 16:14:44 EEST 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
